quarter, time, brightness, error
2.2,  55032.817709, 1.001171708, 5.3019e-05 
2.2,  55032.838143, 1.000787497, 5.306e-05 
2.2,  55032.858577000006, 1.000060558, 5.3017e-05 
2.2,  55032.879011000005, 0.999610126, 5.293e-05 
2.2,  55032.899445, 0.999284387, 5.2959e-05 
2.2,  55032.919879, 0.999340177, 5.2955e-05 
2.2,  55032.94031300001, 0.999716163, 5.2935e-05 
2.2,  55032.960747000005, 1.000236392, 5.2922e-05 
2.2,  55032.981181, 1.000856638, 5.2864e-05 
2.2,  55033.001614, 1.001305699, 5.2833e-05 
2.2,  55033.042482000004, 1.00080359, 5.278e-05 
2.2,  55033.062916, 1.000468135, 5.2605e-05 
2.2,  55033.08335, 1.000217199, 5.2437e-05 
2.2,  55033.103784000006, 1.000245571, 5.2572e-05 
2.2,  55033.124218000004, 1.000067115, 5.2398e-05 
2.2,  55033.144652, 0.999882638, 5.238e-05 
2.2,  55033.165086, 0.999954581, 5.2299e-05 
2.2,  55033.18552000001, 0.99999851, 5.229e-05 
2.2,  55033.205954000005, 1.00007844, 5.2143e-05 
2.2,  55033.226388, 1.000089169, 5.2298e-05 
2.2,  55033.246822, 0.999948502, 5.2341e-05 
2.2,  55033.267255000006, 1.000088215, 5.2222e-05 
2.2,  55033.287689000004, 1.000442505, 5.2249e-05 
2.2,  55033.308123, 1.000833154, 5.195e-05 
2.2,  55033.328557, 1.000812292, 5.2117e-05 
2.2,  55033.369425000004, 1.000353098, 5.1047e-05 
2.2,  55033.389859, 1.000161648, 5.1291e-05 
2.2,  55033.410293, 1.000192046, 5.1533e-05 
2.2,  55033.430727000006, 1.000325918, 5.177e-05 
2.2,  55033.451161000005, 1.000351667, 5.2101e-05 
2.2,  55033.471595, 1.000318885, 5.2128e-05 
2.2,  55033.492028, 1.000181794, 5.2202e-05 
2.2,  55033.512462000006, 1.000145316, 5.2445e-05 
2.2,  55033.532896000004, 1.000171185, 5.2461e-05 
2.2,  55033.55333, 1.000534058, 5.252e-05 
2.2,  55033.573764, 1.000513911, 5.2669e-05 
2.2,  55033.594198000006, 1.000449419, 5.2705e-05 
2.2,  55033.614632000004, 1.000605583, 5.2806e-05 
2.2,  55033.635066, 1.000738859, 5.2691e-05 
2.2,  55033.6555, 1.000891805, 5.2711e-05 
2.2,  55033.675934000006, 1.000665545, 5.2708e-05 
2.2,  55033.696368000004, 1.00023973, 5.2682e-05 
2.2,  55033.716801, 0.999695063, 5.2746e-05 
2.2,  55033.737235, 0.999663472, 5.2777e-05 
2.2,  55033.757669000006, 0.999842167, 5.2795e-05 
2.2,  55033.778103000004, 0.999940693, 5.2828e-05 
2.2,  55033.798537, 0.999986708, 5.2862e-05 
2.2,  55033.818971, 1.000150084, 5.2825e-05 
2.2,  55033.839405000006, 1.000432253, 5.2953e-05 
2.2,  55033.859839000004, 1.000387788, 5.2977e-05 
2.2,  55033.880273, 1.000223756, 5.296e-05 
2.2,  55033.900707, 0.999983072, 5.2985e-05 
2.2,  55033.921141000006, 1.000128388, 5.2945e-05 
2.2,  55033.941574000004, 1.000195622, 5.3027e-05 
2.2,  55033.962008, 1.000460029, 5.3076e-05 
2.2,  55033.982442, 1.000907779, 5.306e-05 
2.2,  55034.002876000006, 1.000936508, 5.3098e-05 
2.2,  55034.023310000004, 1.000456095, 5.3116e-05 
2.2,  55034.043744, 1.000131845, 5.311e-05 
2.2,  55034.064178, 0.999867857, 5.312e-05 
2.2,  55034.084612000006, 0.999895632, 5.3152e-05 
2.2,  55034.105046000004, 0.999717832, 5.3133e-05 
2.2,  55034.12548, 0.99946481, 5.3113e-05 
2.2,  55034.145914, 0.999556899, 5.3152e-05 
2.2,  55034.166347000006, 0.999491513, 5.3106e-05 
2.2,  55034.186781000004, 0.999977291, 5.3178e-05 
2.2,  55034.207215, 1.000053883, 5.3129e-05 
2.2,  55034.227649, 0.999776304, 5.3166e-05 
2.2,  55034.248083000006, 0.999598265, 5.3214e-05 
2.2,  55034.268517000004, 0.9996562, 5.3156e-05 
2.2,  55034.288951, 1.000136495, 5.3149e-05 
2.2,  55034.309385, 1.00021112, 5.316e-05 
2.2,  55034.329819000006, 1.0003618, 5.306e-05 
2.2,  55034.350253000004, 1.000405192, 5.3111e-05 
2.2,  55034.370686, 1.00035727, 5.3077e-05 
2.2,  55034.39112, 1.000298262, 5.3159e-05 
2.2,  55034.411554000006, 1.000147581, 5.3136e-05 
2.2,  55034.431988000004, 0.999976158, 5.3152e-05 
2.2,  55034.452422, 1.000008821, 5.3131e-05 
2.2,  55034.472856, 1.000292182, 5.3157e-05 
2.2,  55034.493290000006, 1.00036025, 5.3141e-05 
2.2,  55034.513724000004, 1.000351071, 5.3109e-05 
2.2,  55034.534158, 1.000160456, 5.3131e-05 
2.2,  55034.554592, 1.000225782, 5.3139e-05 
2.2,  55034.575025000006, 1.0002141, 5.3121e-05 
2.2,  55034.595459000004, 0.999874055, 5.3119e-05 
2.2,  55034.615893, 0.999564886, 5.3102e-05 
2.2,  55034.636327, 0.999482691, 5.3133e-05 
2.2,  55034.656761000006, 0.999468327, 5.3111e-05 
2.2,  55034.677195000004, 0.999278247, 5.3167e-05 
2.2,  55034.697629, 0.999145567, 5.3163e-05 
2.2,  55034.718063, 0.999027252, 5.3145e-05 
2.2,  55034.738497000006, 0.999244452, 5.3136e-05 
2.2,  55034.758931000004, 0.999698043, 5.3121e-05 
2.2,  55034.779364, 0.999936461, 5.3047e-05 
2.2,  55034.799798, 1.000098705, 5.3139e-05 
2.2,  55034.820232000005, 1.000104427, 5.3149e-05 
2.2,  55034.840666000004, 1.00014019, 5.3144e-05 
2.2,  55034.8611, 1.00006485, 5.3146e-05 
2.2,  55034.881534, 0.999990106, 5.3123e-05 
2.2,  55034.901968000006, 0.999825597, 5.3154e-05 
2.2,  55034.922402000004, 0.999987781, 5.3145e-05 
2.2,  55034.942836, 0.999950528, 5.3152e-05 
2.2,  55034.96327, 0.999949157, 5.3183e-05 
2.2,  55034.983703000005, 1.000125647, 5.3146e-05 
2.2,  55035.004137, 1.000405312, 5.3177e-05 
2.2,  55035.024571, 1.00033927, 5.3228e-05 
2.2,  55035.045005, 0.999987781, 5.324e-05 
2.2,  55035.065439000005, 0.9996261, 5.3224e-05 
2.2,  55035.085873, 0.999306679, 5.3221e-05 
2.2,  55035.106307, 0.998794198, 5.3221e-05 
2.2,  55035.126741, 0.999040067, 5.3212e-05 
2.2,  55035.147174000005, 0.999470413, 5.3217e-05 
2.2,  55035.167608, 0.999693573, 5.3208e-05 
2.2,  55035.188042, 1.000085354, 5.3228e-05 
2.2,  55035.208476, 1.000125647, 5.3168e-05 
2.2,  55035.228910000005, 1.000355721, 5.3255e-05 
2.2,  55035.249344, 1.000276208, 5.3186e-05 
2.2,  55035.269778, 1.000251055, 5.3194e-05 
2.2,  55035.290212, 1.000337243, 5.3238e-05 
2.2,  55035.310646000005, 1.000287294, 5.3189e-05 
2.2,  55035.33108, 1.000017285, 5.3202e-05 
2.2,  55035.351513, 0.999946773, 5.3239e-05 
2.2,  55035.371947, 0.999824882, 5.3194e-05 
2.2,  55035.392381000005, 0.99988544, 5.3179e-05 
2.2,  55035.412815, 0.999866903, 5.32e-05 
2.2,  55035.433249, 0.999973953, 5.3202e-05 
2.2,  55035.453683, 1.000380993, 5.3261e-05 
2.2,  55035.474117000005, 1.000196218, 5.3202e-05 
2.2,  55035.494551, 0.999995708, 5.3178e-05 
2.2,  55035.514985, 0.999999285, 5.3039e-05 
2.2,  55035.535418, 0.999719679, 5.3256e-05 
2.2,  55035.555852000005, 0.999603093, 5.3208e-05 
2.2,  55035.576286, 0.999432266, 5.3243e-05 
2.2,  55035.59672, 0.999768138, 5.3249e-05 
2.2,  55035.617154, 1.000132799, 5.32e-05 
2.2,  55035.637588000005, 1.000321507, 5.3243e-05 
2.2,  55035.658022, 1.000054598, 5.3277e-05 
2.2,  55035.678456, 0.999586046, 5.3217e-05 
2.2,  55035.698889, 0.999188542, 5.3159e-05 
2.2,  55035.719323000005, 0.998748958, 5.3257e-05 
2.2,  55035.739757, 0.998673141, 5.3213e-05 
2.2,  55035.760191, 0.999107122, 5.322e-05 
2.2,  55035.780625, 0.99965024, 5.3233e-05 
2.2,  55035.801059000005, 1.00012219, 5.3208e-05 
2.2,  55035.821493, 1.000452995, 5.3251e-05 
2.2,  55035.841927, 1.000550508, 5.3248e-05 
2.2,  55035.86236000001, 1.00033021, 5.3256e-05 
2.2,  55035.882794000005, 0.999871016, 5.3264e-05 
2.2,  55035.903228, 0.999561369, 5.3206e-05 
2.2,  55035.923662, 0.99904412, 5.3258e-05 
2.2,  55035.94409600001, 0.999018729, 5.3166e-05 
2.2,  55035.964530000005, 0.99904114, 5.3222e-05 
2.2,  55035.984964, 0.999556065, 5.3257e-05 
2.2,  55036.025832, 0.999997616, 5.1802e-05 
2.2,  55036.046265000004, 0.997946143, 5.2552e-05 
2.2,  55036.066699, 0.999834955, 5.3235e-05 
2.2,  55036.087133, 0.999599814, 5.3131e-05 
2.2,  55036.10756700001, 0.999486268, 5.2945e-05 
2.2,  55036.128001000005, 0.99971503, 5.3249e-05 
2.2,  55036.148435, 0.999787927, 5.3167e-05 
2.2,  55036.168869, 1.000046134, 5.3164e-05 
2.2,  55036.18930300001, 1.000168562, 5.3229e-05 
2.2,  55036.209736000004, 1.000299096, 5.3257e-05 
2.2,  55036.23017, 1.000223279, 5.3265e-05 
2.2,  55036.250604, 0.999965608, 5.3176e-05 
2.2,  55036.271038000006, 1.00006938, 5.3218e-05 
2.2,  55036.291472000004, 1.000273824, 5.3169e-05 
2.2,  55036.311906, 1.000093222, 5.3184e-05 
2.2,  55036.33234, 0.999931574, 5.3188e-05 
2.2,  55036.352774000006, 0.999678552, 5.3257e-05 
2.2,  55036.373207000004, 0.999499798, 5.321e-05 
2.2,  55036.393641, 0.999349713, 5.3185e-05 
2.2,  55036.414075, 0.999216557, 5.3207e-05 
2.2,  55036.434509000006, 0.999408841, 5.3166e-05 
2.2,  55036.454943000004, 0.999481261, 5.3158e-05 
2.2,  55036.475377, 0.999843478, 5.3189e-05 
2.2,  55036.495811, 0.99996984, 5.3175e-05 
2.2,  55036.516245000006, 0.99988687, 5.3197e-05 
2.2,  55036.536678000004, 0.999580264, 5.3192e-05 
2.2,  55036.557112, 0.999324977, 5.3247e-05 
